T    ,ILAGR,ITYPE,EXIST,SET  ,COORX,COORY,COORZ,
 9.13000000E-001, 1.56200000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 6.77954410E-003,-3.43002665E-003,-2.36263913E-002,
 9.17000000E-001, 6.42000000E+002, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 7.00641319E-003, 2.70074712E-003,-2.39713220E-002,
 9.36000000E-001, 2.92200000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-7.02145040E-003,-2.74018727E-003,-2.41299593E-002,
 9.38000000E-001, 4.41800000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-6.59099270E-003, 3.57905485E-003,-2.34250255E-002,
 9.43000000E-001, 4.25000000E+002, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-4.17395708E-003, 6.31750546E-003,-2.30272596E-002,
 9.44000000E-001, 3.99900000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-6.95919536E-003, 2.79480727E-003,-2.39749670E-002,
 9.47000000E-001, 2.65300000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 7.36565239E-003,-1.41211320E-003,-2.50236482E-002,
 9.51000000E-001, 1.05000000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-6.56952891E-003,-3.64463211E-003,-2.31431218E-002,
 9.62000000E-001, 2.42000000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 6.71394605E-003,-3.34870099E-003,-2.31539551E-002,
 9.62000000E-001, 4.00900000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 7.12141181E-003, 2.73416887E-003,-2.41583082E-002,
 9.63849898E-001, 3.35900000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-1.64276748E-003, 7.32811341E-003,-2.49045343E-002,
 9.64000000E-001, 1.04800000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 3.93842930E-003,-6.66023416E-003,-2.32657124E-002,
 9.67000000E-001, 5.48300000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-6.69934366E-003,-3.51257925E-003,-2.35503539E-002,
 9.69015758E-001, 6.64600000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-6.03737505E-003, 4.43238948E-003,-2.27841646E-002,
 9.71000000E-001, 1.31900000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 4.93103345E-003, 5.78774886E-003,-2.24318062E-002,
 9.71000000E-001, 1.09900000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-7.32588708E-003,-1.92013396E-003,-2.47221886E-002,
 9.72000000E-001, 1.59800000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-3.39397848E-003,-6.71627610E-003,-2.36298918E-002,
 9.72000000E-001, 1.99200000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-2.58167695E-003,-7.04530652E-003,-2.40174422E-002,
 9.73000000E-001, 4.39200000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 6.73946709E-003,-3.72085807E-003,-2.34228925E-002,
 9.73000000E-001, 1.98100000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 4.34564681E-003,-6.52076682E-003,-2.29632807E-002,
 9.73000000E-001, 1.42500000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-6.68619562E-003,-3.40855112E-003,-2.32415390E-002,
 9.75000000E-001, 2.55000000E+002, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 3.94682592E-003,-6.38262277E-003,-2.29939350E-002,
 9.75000000E-001, 2.47100000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 4.84055268E-003, 5.87621900E-003,-2.25075695E-002,
 9.77000000E-001, 2.25200000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 1.77039170E-003, 7.29507492E-003,-2.46303721E-002,
 9.77000000E-001, 7.23000000E+002, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001,-4.55165714E-003,-6.11273028E-003,-2.27266730E-002,
 9.78000000E-001, 2.20300000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 5.17117972E-003,-5.46861301E-003,-2.21692798E-002,
 9.78000000E-001, 1.99100000E+003, 1.00000000E+000,-2.00000000E+000, 2.10000000E+001, 2.36670219E-003,-7.16666307E-003,-2.44018616E-002,
