generated_at,2026-01-30T08:07:40.738649+00:00
area,simulation_id,resolution_m,model,peak_intensity_mmh,total_precip_mm,file_rel_path,file_size_bytes,sha256
CREXDATA_Dortmund,simulation-0e85257f-3088-4bed-9d22-d1cc7474d422,4,deepwaive-5.1,90.0,100.0,CREXDATA_Dortmund/simulation-0e85257f-3088-4bed-9d22-d1cc7474d422/max_water_levels.tif,5117120,1341fa624663b9fcab96e554211d02b470360c5b4df0344a3f9cffa87dfbd10d
CREXDATA_Dortmund,simulation-2f8c503e-cfbe-4783-83db-3fe283df4d37,16,deepwaive-5.1-large,120.0,275.0,CREXDATA_Dortmund/simulation-2f8c503e-cfbe-4783-83db-3fe283df4d37/max_water_levels.tif,465557,c0d5007b34df2906e828dbbe362f44ffbbb5833376a98d58067f705e314e9e4d
CREXDATA_Dortmund,simulation-3d767298-7b2e-4d1f-a133-1cff80ac0e7b,1,deepwaive-5.1,72.0,176.5,CREXDATA_Dortmund/simulation-3d767298-7b2e-4d1f-a133-1cff80ac0e7b/max_water_levels.tif,65707994,b2741043189cc4f9325f39380b5064bb79b18bbd37bbb627b399dd4a9d57b820
CREXDATA_Dortmund,simulation-3e3fe413-2eb3-483c-9aee-32597498478f,4,deepwaive-5.1,90.0,65.8,CREXDATA_Dortmund/simulation-3e3fe413-2eb3-483c-9aee-32597498478f/max_water_levels.tif,4826163,95c514394fb190dc06a70ed389c9b4e78653745f87ebb8b5846e4ecd5bbec40e
CREXDATA_Dortmund,simulation-427d5309-97b6-492f-9508-48f2e9c3e010,16,deepwaive-5.1-large,120.0,275.0,CREXDATA_Dortmund/simulation-427d5309-97b6-492f-9508-48f2e9c3e010/max_water_levels.tif,441262,4496b44c019524c973e873c11546abead6557859368b13040721e88f6c235109
CREXDATA_Dortmund,simulation-4398676a-3db8-4643-8a52-b6419f2207f2,16,deepwaive-5.1,120.0,275.0,CREXDATA_Dortmund/simulation-4398676a-3db8-4643-8a52-b6419f2207f2/max_water_levels.tif,416270,b0fd47cc4316bfbe2b8784c8ac48f66e9fa43f3d59be1b38911e36f588aa90a5
CREXDATA_Dortmund,simulation-49d61051-f852-4cf2-880a-b1554d0ec6d6,2,deepwaive-5.1-large,120.0,120.0,CREXDATA_Dortmund/simulation-49d61051-f852-4cf2-880a-b1554d0ec6d6/max_water_levels.tif,17897589,2e69fac3324438f11c3bcf978d60f1ab88b9271e7111f94bc02d115a8a272f8a
CREXDATA_Dortmund,simulation-4d210b76-e391-4ad7-801c-969fdb908555,8,deepwaive-5.1,90.0,65.8,CREXDATA_Dortmund/simulation-4d210b76-e391-4ad7-801c-969fdb908555/max_water_levels.tif,1269254,a46d4ff7b2e1277d3575a059bd6b4cc4b00c9c85c8dc761f6ba503a2069b9003
CREXDATA_Dortmund,simulation-66953d0c-74ae-4372-a3ac-c11bad862fed,4,deepwaive-5.1,90.0,90.0,CREXDATA_Dortmund/simulation-66953d0c-74ae-4372-a3ac-c11bad862fed/max_water_levels.tif,5144803,81b4d85a8109bd888d03a5a937080b30553c65cba4babf4ffd3cfef5f66ad754
CREXDATA_Dortmund,simulation-8c3b353f-b52b-4171-b85f-c423c149aea0,16,deepwaive-5.1-large,120.0,275.0,CREXDATA_Dortmund/simulation-8c3b353f-b52b-4171-b85f-c423c149aea0/max_water_levels.tif,441262,4496b44c019524c973e873c11546abead6557859368b13040721e88f6c235109
CREXDATA_Dortmund,simulation-97468699-ba85-4c12-a683-3e5d8a0af766,4,deepwaive-5.1,90.0,65.8,CREXDATA_Dortmund/simulation-97468699-ba85-4c12-a683-3e5d8a0af766/max_water_levels.tif,4826163,95c514394fb190dc06a70ed389c9b4e78653745f87ebb8b5846e4ecd5bbec40e
