id,area,Y,M,O,Total
01001_AM,358495702.254284,1065,4747,3102,8914
01002,96152612.3784106,2470,5916,2117,10503
01010_AM,198919890.011614,1554,3583,1263,6400
01031_AM,367683172.036983,1143,3932,2584,7659
01036,37427387.9776011,3470,9970,4161,17601
01043_AM,504044449.771691,958,4100,2778,7836
01047_AM,366162855.470708,568,2152,1401,4121
01051,37870227.640411,359,2710,2147,5216
01058_AM,177264009.962066,1022,2438,938,4398
0105901,1422836.35335494,700,20306,15404,36410
0105902,7896848.73790711,1284,37237,28249,66770
0105903,3923600.95097097,973,28242,21425,50640
0105904,3730751.03634971,579,16809,12752,30140
0105905,8533119.77127062,975,28287,21459,50721
0105906,251863499.564665,160,3115,2408,5683
01063_AM,224586583.53181,1180,2641,711,4532
01901_AM,318580242.748745,556,3311,2482,6349
0200301,6522615.5265997,3103,10026,11936,25065
0200302,4385991.99322347,4730,15283,18194,38207
0200303,971405.385935281,2441,7887,9389,19717
0200304,3703678.98922958,2374,7669,9130,19173
0200305,1000449.15735571,1963,6342,7550,15855
0200306,1789823.18824578,2068,6682,7954,16704
0200307,5312803.83409267,2983,9639,11475,24097
0200308,1119198370.02085,982,3323,3686,7991
02008_AM,1464689104.88022,598,2717,1790,5105
02009,532675303.986406,4190,15165,6237,25592
02010_AM,624405950.547233,607,3080,1580,5267
02012_AM,680284367.32154,485,2972,3203,6660
02021_AM,848678668.759191,729,3147,2016,5892
02024_AM,194344744.410767,612,3235,1664,5511
02025,141811361.520165,1340,4950,4632,10922
02029_AM,782865101.397412,554,3924,3880,8358
02030_AM,816928552.344666,1196,3955,2196,7347
02033_AM,566325257.790663,1360,4152,3002,8514
02037,782500264.896743,2616,16636,11427,30679
02045_AM,276462635.492761,1373,4774,2888,9035
02053_AM,977059924.107875,1619,5197,2728,9544
02063_AM,612657366.329397,1056,3429,1493,5978
02067_AM,777257762.710807,421,2787,1815,5023
02069_AM,655083506.168937,2318,11391,7670,21379
02073_AM,259600821.199585,826,3498,3338,7662
02074,325393506.118393,317,2738,5504,8559
02079_AM,401364930.963632,1297,4808,2661,8766
02081,863578066.670382,2532,15916,8552,27000
02086_AM,1212557702.18343,598,2627,1966,5191
03002_AM,137225312.64318,597,2635,2487,5719
03005_AM,73487390.156859,1568,6721,6216,14505
0300901,575471.08350014,493,2314,1479,4286
0300902,1346429.46839592,823,3863,2470,7156
0300903,726981.596557281,816,3832,2450,7098
0300904,432718.030857849,941,4416,2823,8180
0300905,655928.787910926,826,3880,2480,7186
0300906,299250.054910253,621,2918,1865,5404
0300907,472687.575164315,902,4236,2708,7846
0300908,125560665.987933,1707,5855,3132,10694
03011,19313834.9044246,1378,10892,6886,19156
0301401,1958862.80660622,2583,9780,8304,20667
0301402,1557520.31224995,4100,15521,13178,32799
0301403,2755667.49653297,6110,23132,19640,48882
0301404,52356830.2936466,9404,35730,30033,75167
0301405,1985036.89713415,3841,14541,12346,30728
0301406,11277549.7733412,6020,22921,19509,48450
0301407,5616768.18065833,3578,13547,11502,28627
0301408,124100335.884996,4818,18464,15722,39004
03015,25323938.5268985,2636,11383,6860,20879
03018,34486978.208469,1436,8632,12919,22987
03019,70972055.3464367,3133,9375,8213,20721
03021,50355537.3752519,1663,4252,1609,7524
03024,9131675.63608063,494,2371,2704,5569
03026_AM,38243920.5694137,575,2882,2214,5671
03028_AM,283651872.729316,1082,3175,1793,6050
0303101,804743.466238272,2300,7618,6325,16243
0303102,12082142.5840847,2471,8187,6797,17455
0303103,7790891.56057439,2914,9916,8154,20984
0303104,17682694.161576,1442,4789,3981,10212
03035_AM,395399129.845718,647,2713,1891,5251
03041,69768061.8622728,1650,6179,4023,11852
03043_AM,174413739.087138,1618,4357,1636,7611
03044_AM,16321726.1746387,874,4750,3149,8773
03046_AM,153452346.837151,789,3064,2395,6248
03047,23523100.3310542,2454,10938,8104,21496
03048,34658151.0800604,134,3116,3415,6665
03049,24881358.9065173,2298,10933,5625,18856
03050,55335478.8455446,4903,15987,7407,28297
03053,114655536.549332,1449,4733,4181,10363
03055,19926660.992584,1843,5535,2195,9573
03056,52842447.314577,1037,5433,5629,12099
03058_AM,36410438.3444046,1805,5831,4422,12058
03059,105032990.611763,2092,13853,12439,28384
03063,66420632.527283,5851,26047,11297,43195
03064,18598668.1961965,1160,3484,2807,7451
0306501,2609744.80561077,2959,11343,14055,28357
0306502,4473766.51564701,3356,12867,15944,32167
0306503,2249109.07107386,3447,13214,16374,33035
0306504,1263505.41884011,3023,11589,14360,28972
0306505,853485.217622892,3278,12566,15571,31415
0306506,1014892.84475504,2937,11258,13951,28146
0306507,314308743.922135,4583,17680,21004,43267
0306601,1656771.62299811,1510,3651,2077,7238
0306602_AD,41600623.0487685,1638,3948,2214,7800
0306604,1922565.59008988,5269,12734,7245,25248
0306605,686368.566382086,2755,6658,3788,13201
03069,42496649.2142974,838,2920,2728,6486
03070_AM,18944954.947323,835,5384,3789,10008
03071,20358609.0037881,663,2582,2698,5943
03076,35648037.7873608,2070,6896,6881,15847
03077_AM,143456290.779681,1287,3735,2716,7738
03079,62880479.9933698,1423,11102,10876,23401
03081_AM,76085542.7459005,684,3116,1912,5712
03082,68765002.5840434,4034,14279,8384,26697
03083,163951130.401471,626,2964,3596,7186
03088,79628607.2377366,1910,4434,1408,7752
03089,152562947.893747,1511,7490,3459,12460
03090,47950389.1527618,7063,11582,6816,25461
03092_AM,76922703.2846866,2117,6006,3214,11337
03093,75666871.3792702,4863,14557,6393,25813
03094,21392528.3880185,1650,8968,8785,19403
03095,10410363.4845882,1220,3301,2675,7196
03096,48332458.4817033,668,4079,2951,7698
03097_AM,122324908.060929,658,3374,1800,5832
0309901,1062071.1588613,588,3492,2705,6785
0309902,712628.55425582,946,6344,3787,11077
0309903,930891.09206146,418,2801,1672,4891
0309904,1196161.40846703,780,5227,3120,9127
0309905,154803599.3243,2086,12608,7559,22253
0309906,45094825.5685983,1083,4709,2857,8649
0309907,112069977.129905,1166,4763,2597,8526
0309908,49900523.9500104,790,3699,2092,6581
03101,29617519.4075039,525,4271,2789,7585
03102,52897854.2718726,2290,7138,1413,10841
03104,104522849.504777,4862,17873,13003,35738
03105,126636442.712606,577,4152,3175,7904
03107,22643728.8782326,362,2505,2413,5280
03109,1569527.211046,737,2399,1218,4354
03111,9475131.23292964,450,4175,2740,7365
03113,27570461.4128789,1714,8604,6195,16513
03118,19951785.5935832,1239,3994,2574,7807
03119,9749646.61182845,2732,12064,8165,22961
03120,54997486.0349658,1313,2626,1970,5909
03121,58239607.6999033,2771,19381,10815,32967
0312201,1323372.28026558,2043,11237,10829,24109
0312202,741306.763590447,1023,5628,5424,12075
0312203,38324328.2874687,1522,8319,8009,17850
03123_AM,125347964.389429,2875,6218,2614,11707
03128_AM,45048446.3800628,1557,7325,6166,15048
0313301,22851240.5554186,3343,13000,7105,23448
0313302,40908666.3087372,3468,13444,7190,24102
0313303,7750992.4657669,5367,20839,11366,37572
03138_AM,11856423.0867422,1450,3377,3004,7831
03139,59324070.2520081,3110,17833,12593,33536
03140,345837576.274607,7442,17632,10315,35389
03902,78094323.1276528,2211,8410,12770,23391
03903_AM,51084998.4103984,1284,5188,1702,8174
04003,90240247.5571019,4680,12044,8700,25424
04006,168699756.757899,615,8096,2985,11696
04011_AM,190420760.241043,863,3263,1355,5481
0401301_AD,661801.215197459,769,4309,4232,9310
0401303,26249763.6307569,932,5213,4953,11098
0401304,271860.80503603,539,3021,2967,6527
0401305,10190696.8154098,1061,6264,6091,13416
0401306,12131775.7340604,4873,28704,27919,61496
0401307,33328212.2518907,5672,31763,31196,68631
0401308,214078704.852603,1368,7633,7483,16484
04016_AM,319535081.641169,958,4868,3046,8872
04017_AM,182054342.030478,1290,4903,2044,8237
04024_AM,62760922.0176512,1495,5147,2266,8908
04029,186110731.448675,3760,8218,1735,13713
04031_AM,250144719.282755,1916,3949,1713,7578
04032,95647352.4117507,361,3661,4558,8580
04035,265276458.829503,1145,6967,5928,14040
04038_AM,173428652.76375,1062,4553,1238,6853
04045_AM,381315784.512946,908,3048,2421,6377
04047_AM,159260575.124712,985,2844,1425,5254
04049,7694036.45215825,1596,4776,2218,8590
04050_AM,553364451.898144,691,2697,1990,5378
04052,20961941.7499858,1131,8325,7771,17227
04053,318238494.49378,1921,10439,6973,19333
04057_AM,499018285.634309,901,3379,2235,6515
04062_AM,103126091.819264,808,3592,2345,6745
04064,71704841.0904591,998,3137,2359,6494
04066,600908477.253529,3069,15493,10765,29327
04069,23548366.6860019,818,4202,1765,6785
04070_AM,442022710.270254,786,3199,2079,6064
04075,94887584.2642167,1387,5260,2558,9205
0407901,19987819.961013,3933,19045,15079,38057
0407902,40038206.2471764,5829,28217,22203,56249
04088_AM,662571980.08595,825,3313,2149,6287
04092_AM,449923865.521998,758,3630,2912,7300
04093_AM,519932503.168539,1112,3547,2734,7393
04098_AM,865617255.83973,548,2639,1796,4983
04099,282479381.466206,782,3427,2879,7088
04100,58108782.4011411,4221,7778,3738,15737
04101,20670277.9879329,595,2425,2830,5850
04102,64454527.548425,3435,14465,7494,25394
0490201,226316844.413265,19656,42689,24318,86663
04903,23905868.7867643,2685,4585,1290,8560
05002_AM,114062386.883718,632,2554,1727,4913
05014_AM,198223967.641638,1519,3874,1477,6870
05016,45718537.3842502,1578,4308,2479,8365
0501901_AD,56415523.6997559,2195,5006,1878,9079
0501904,49032576.7128219,4730,10854,4345,19929
0501905,3181357.15632663,2653,5788,2086,10527
0501906,122332326.768407,4453,9902,3605,17960
05021_AM,619136140.2194,862,3111,1629,5602
05047,214148721.258449,826,2284,1129,4239
05054_AM,312574096.791891,863,2879,1848,5590
05057_AM,529011028.992923,1153,3878,2840,7871
05114_AM,566867676.729781,753,2955,1901,5609
05132_AM,262896681.449685,663,2805,1951,5419
05163_AM,483644886.60221,778,3631,2720,7129
05168_AM,184139882.409226,1120,3194,1266,5580
05186_AM,819106929.962698,716,2695,1643,5054
05204_AM,686444709.201887,934,3318,2006,6258
05220_AM,1114043047.53783,626,2436,1785,4847
05238_AM,957049968.818662,639,2940,2253,5832
05240_AM,127054885.976998,743,3282,2391,6416
05241_AM,98532745.2711244,662,2720,1371,4753
05242_AM,494574703.485348,805,2710,1533,5048
06002,63154932.4668942,632,3158,1895,5685
06005_AM,284781515.431171,1156,3552,2560,7268
06006,724272572.488695,762,2279,2811,5852
06011,164564912.772081,4655,17039,12098,33792
06012_AM,73608136.2237617,1463,3312,1983,6758
06014_AM,840813921.710568,2190,6053,3298,11541
0601501,1122136.08680537,1781,4581,2927,9289
0601502,2328602.82455223,1632,4198,2682,8512
0601503,14568940.4987548,3359,8639,5519,17517
0601504,375802973.268407,4189,10729,6880,21798
0601505,657337.876847235,1800,4646,2956,9402
0601506,6168160.01370944,1314,3379,2159,6852
0601507,96524223.9642607,3902,10050,6492,20444
0601508,858224305.934605,2757,7300,4443,14500
0601509,76238514.630864,3767,9757,6216,19740
0601510,11261995.4587675,2860,7355,4699,14914
06016_AM,208232322.598797,660,2740,2481,5881
06019_AM,915039539.717702,1199,4027,3214,8440
06022_AM,458061907.980179,976,4526,2749,8251
06023_AM,894139975.116254,1277,4609,2778,8664
06025,7840906.36852421,1248,3389,1829,6466
06028_AM,501574358.412388,1330,4826,3557,9713
06036_AM,689659124.179825,794,4376,3595,8765
06044_AM,655985933.615928,5486,20814,13177,39477
06050_AM,431131827.321319,1486,4794,2346,8626
06052_AM,304153871.167277,785,2841,2678,6304
06054,179976430.050709,648,3457,2851,6956
06055_AM,346901290.951853,1036,3347,2433,6816
06060_AM,335358153.214576,1291,5663,3216,10170
06063_AM,1034413322.84977,1139,4120,2553,7812
06066_AM,442276118.523621,888,3204,1843,5935
06069_AM,510762525.925091,802,3356,1636,5794
06070_AM,750287002.308468,1708,5908,3845,11461
06072_AM,89610536.1432386,957,2681,2037,5675
06074_AM,459751037.894112,984,3339,2345,6668
0608301,668901.040130658,534,3018,2292,5844
0608302_AD,4893937.14291583,495,2761,2389,5645
0608303,33752200.837462,1665,7346,5288,14299
0608304,568238708.676538,2146,10690,7754,20590
0608306,259682803.681113,1614,6676,4570,12860
06085_AM,605609029.672961,1211,3680,1833,6724
06088_AM,191168916.928186,3500,12447,6135,22082
06091_AM,387819234.520898,1807,4882,2251,8940
06093_AM,224439312.247558,545,3767,1996,6308
06094_AM,522499468.406362,699,3313,2020,6032
06095_AM,503776936.805605,3243,8916,4603,16762
06103,14280960.353795,1304,3038,2195,6537
06108_AM,390685134.922405,923,3689,2459,7071
06109_AM,571797446.933648,2219,6173,2949,11341
06113_AM,382410701.976745,522,3031,2560,6113
06117_AM,270564987.216131,508,2572,2211,5291
06120_AM,222782603.853297,1276,4492,3053,8821
06121_AM,275834507.295236,917,4799,3369,9085
06122,108791780.612504,1530,4138,2662,8330
06123_AM,345175397.920874,532,4286,3171,7989
06125_AM,868266187.800495,699,2767,1873,5339
06127_AM,870115456.281297,1363,4175,2443,7981
06128_AM,120290184.383721,1831,6395,2410,10636
06149,104555327.607993,2591,6671,4424,13686
06153,153059687.19617,3604,14419,8186,26209
06154_AM,406003128.939236,1006,3148,2158,6312
06155_AM,353275456.177079,1132,4647,2619,8398
06158,62655306.3175172,1718,8117,6974,16809
06162_AM,167643517.83107,1006,3915,2529,7450
07001,45758603.8395818,779,2882,2297,5958
07002,109984571.324831,2768,5326,1240,9334
07003,60069113.6742012,2418,9327,8751,20496
07004,89883332.4896298,946,3578,1773,6297
07005,81520044.6181537,637,5836,4916,11389
07006,139926064.877723,1952,4521,1496,7969
07008,29814886.8814292,644,3760,4013,8417
07010,84849646.641026,617,3416,3441,7474
07011,145203771.110418,7293,26203,15890,49386
07012_AM,42973605.3409513,526,2142,1206,3874
07013,149910310.45477,991,4858,5512,11361
07014,55032572.9347213,1357,6288,4472,12117
07015,186209474.781005,3661,11523,14270,29454
07016,13704116.6344258,280,2066,2104,4450
07020,35332647.2272056,544,2277,2100,4921
07022,170030297.88499,1784,7572,8466,17822
07023_AM,97574127.198142,1093,3332,1778,6203
07024,78701567.3887944,1369,7076,3956,12401
07026,11183426.6931271,5984,21261,21532,48777
07027,58386792.5223825,6096,19665,5283,31044
07029,12116728.3381305,1017,3053,1852,5922
07030_AM,65538244.2422565,420,2335,1780,4535
07031,327761919.192988,9910,20846,6214,36970
07032,117187092.734931,6632,16226,5394,28252
07033,260558794.222235,4773,25603,10374,40750
07036,54306419.8189646,4461,17169,14909,36539
07037,138146279.662875,776,2137,2127,5040
07038_AM,79757259.5541422,925,3020,1807,5752
07039,58750869.8940697,365,4399,2458,7222
0704001,13401372.341388,1575,11291,8665,21531
0704002,34322087.933397,8130,57573,44070,109773
0704003,48772419.6194987,6586,44551,34391,85528
0704004,100847460.490788,10388,73414,55967,139769
0704005,9785944.28699259,2731,18507,13994,35232
07042,151622858.295128,1127,10961,4535,16623
07043,87038376.3876274,765,2267,2426,5458
07044,48638458.6629287,2056,9301,2265,13622
07045_AM,132078908.688323,719,3125,1819,5663
07046,126875093.845545,2333,11038,12234,25605
07047_AM,73182263.3379361,636,3338,1732,5706
07048,159241748.711081,1672,14198,11160,27030
07050,121681568.453888,858,3125,2456,6439
07051,82217248.5040304,1397,4970,2837,9204
07052,34669368.4397338,953,3688,2537,7178
07054,153797642.442128,4913,20911,11120,36944
07055,86662120.4238159,1065,5738,5735,12538
07056,37661531.2069103,1440,4396,2193,8029
07057,124745487.129606,3393,6994,1498,11885
07058_AM,227821175.581511,1045,3151,2250,6446
07059,38992184.7211914,606,2665,1993,5264
07060_AM,80649788.6501246,649,3199,3201,7049
